2006	11	46	3	1582
2011	1	1	1	1214
2012	1	1	6	1376
2007	5	21	5	1584
2012	10	42	4	1543
2013	6	26	5	1473
2011	11	48	2	1503
2006	12	50	6	1254
2006	6	25	1	1602
2012	11	45	4	1048
2012	3	10	1	1339
2006	9	39	2	1749
2012	1	2	1	1336
2013	12	50	3	1360
2006	12	50	2	1686
2006	10	40	2	1718
2009	3	14	2	1592
2010	10	42	2	1562
2012	4	17	3	1631
2014	11	48	5	1166
2014	5	21	4	1491
2006	9	36	3	1581
2013	4	15	2	1508
2010	12	49	1	1277
2014	2	6	6	1230
2013	2	8	5	1383
2009	12	53	4	1094
2015	2	9	2	1094
2015	8	33	2	1354
2014	1	3	6	1381
2007	8	35	4	1604
2014	5	20	7	1373
2015	9	37	5	1435
2012	6	23	5	1511
2009	9	39	3	1622
2011	12	49	4	1361
2009	6	24	7	1230
2013	10	40	5	1598
2011	1	3	5	1420
2008	3	13	6	1370
2012	10	43	7	1128
2008	9	37	6	1467
2014	2	9	3	1250
2015	10	42	5	1522
2015	8	34	3	1561
2008	1	4	1	1183
2006	4	15	3	1719
2012	10	41	1	1226
2006	4	17	3	1546
2013	3	13	5	1298
2007	2	6	7	1137
2008	11	46	1	1435
2008	6	23	1	1600
2015	12	52	3	1210
2008	9	38	1	1578
2007	7	28	2	1522
2013	7	29	3	1512
2010	12	51	5	981
2015	2	6	1	893
2007	5	21	1	1616
2006	10	41	1	1488
2013	1	3	5	1361
2008	3	10	3	1566
2010	7	30	5	1562
2010	1	3	6	1436
2012	4	15	5	1434
2008	4	15	7	1351
2009	5	20	2	1672
2014	8	33	1	1490
2009	4	14	3	1563
2011	10	42	7	1248
2006	12	49	5	1377
2010	8	31	1	1449
2009	4	14	7	1163
2013	3	11	5	1349
2015	7	29	3	1565
2007	1	3	7	1130
2011	8	33	2	1548
2011	6	22	5	1536
2012	9	36	5	1486
2015	9	38	4	1448
2009	5	19	1	1279
2009	11	48	4	757
2014	4	17	1	1277
2011	12	48	7	1135
2009	11	45	5	1416
2006	6	24	6	1376
2015	1	3	5	1282
2008	3	12	5	1447
2012	8	33	3	1404
2007	12	50	7	1046
2009	4	16	3	1305
2012	1	3	2	1439
2013	8	32	7	1380
2010	7	28	1	1466
2015	2	7	2	1197
2010	12	50	2	1300
2015	4	14	3	1406
2007	5	20	2	1747
2012	12	49	5	1310
2012	1	3	6	1108
2011	10	44	1	1321
2007	7	30	4	1615
2013	7	30	2	1473
2010	5	21	6	1376
2014	8	35	5	1481
2013	1	2	2	1425
2013	2	9	2	1352
2006	12	51	1	1507
2015	11	48	6	1200
2007	3	11	7	1133
2006	7	28	7	1265
2008	12	1	1	1365
2009	5	21	5	1512
2013	10	41	2	1511
2014	11	47	4	1360
2013	11	45	5	1437
2008	3	14	1	1378
2015	10	43	2	1412
2009	9	36	6	1431
2015	11	47	3	1398
2011	8	32	1	1382
2015	9	39	5	1277
2013	11	48	2	1319
2013	10	42	3	1410
2009	11	46	6	1230
2008	11	47	6	1245
2013	3	12	6	1224
2008	9	39	2	1577
2012	8	34	2	1575
2008	10	43	7	1231
2009	8	34	7	1315
2008	8	35	3	1574
2013	12	50	7	1013
2010	12	50	6	1308
2015	1	4	6	1059
2009	8	34	3	1635
2015	3	10	4	1029
2010	2	7	1	965
2008	6	24	6	1412
2012	12	50	4	1335
2010	5	20	5	1640
2011	11	47	3	1372
2013	1	1	5	1418
2015	2	9	6	1122
2013	8	31	4	1307
2009	7	27	3	1611
2015	4	17	2	1486
2010	1	1	2	1451
2012	6	23	1	1312
2009	12	49	4	1504
2008	9	40	1	1574
2009	6	24	3	1544
2009	5	18	6	1428
2009	7	27	7	1300
2014	3	9	6	1292
2014	4	16	2	1248
2013	12	52	1	1280
2013	9	38	4	1525
2007	4	16	7	1291
2013	2	5	6	1272
2012	11	47	2	1368
2013	11	46	4	1519
2010	5	20	1	1455
2007	9	39	1	1554
2015	6	23	6	1272
2013	1	4	2	1223
2007	12	51	4	1505
2009	6	23	4	1333
2010	7	29	6	1362
2008	6	23	5	1649
2012	3	11	6	1325
2014	8	32	6	1340
2007	5	19	7	1141
2012	12	48	6	1243
2006	10	41	5	1541
2012	9	39	6	1425
2013	1	3	1	1366
2014	12	49	7	1073
2008	3	10	7	1195
2014	8	34	6	1362
2008	11	48	3	1446
2010	10	43	5	1649
2012	12	51	5	1310
2009	10	44	1	1492
2014	6	23	1	1486
2015	3	11	7	1130
2011	2	8	7	1188
2015	10	44	5	1307
2011	1	1	5	1299
2014	2	7	1	1219
2010	8	31	5	1572
2009	2	8	5	1398
2013	11	44	6	1407
2015	4	16	1	1333
2015	2	8	5	1103
2007	1	3	3	1435
2007	8	34	7	1342
2006	12	52	2	1342
2014	12	52	6	925
2006	7	27	2	1295
2009	3	10	4	1493
