		188146
1008084	220283	19
1008084	246773	72
1008085	253454	14
1008086	196047	27
1008088	142218	4
1008088	171094	145
1008089	191730	167
1008089	233928	15
1008090	173144	112
1008090	186192	35
1008091	195417	17
1008091	243026	79
1008092	180395	32
1008092	249190	4
1008093	167042	65
1008093	184405	58
1008093	188644	155
1008093	209814	2
1008093	245355	129
1008095	187277	34
1008095	219811	1
1008095	233595	311
1008096	183714	44
1008096	196698	17
1008096	239563	111
1008096	256801	2
1008098	161064	5
1008098	183094	108
1008098	210490	1
1008098	260464	3
1008099	191307	26
1008099	256194	1
1008101	173741	11
1008102	176018	50
1008102	244843	57
1008102	246259	49
1008103	210090	2
1008103	216111	34
1008103	261471	6
1008104	178652	39
1008104	184567	49
1008105	209862	54
1008105	243721	217
1008106	170640	51
1008107	190882	199
1008109	221664	14
1008110	180980	54
1008113	161157	1
1008114	244866	895
1008115	187142	49
1008115	190458	31
1008115	260991	5
1008116	184730	42
1008116	237763	73
1008118	167713	16
1008118	244874	1
1008119	143988	8
1008119	159715	3
1008119	225295	23
1008120	238322	37
1008121	163985	32
1008121	165525	4
1008122	196943	27
1008123	190034	163
1008123	244271	52
1008125	175591	20
1008125	188800	1
1008125	211107	44
1008126	207323	12
1008127	256801	11
1008128	181565	4
1008128	184892	76
1008128	199657	21
1008128	210265	21
1008128	214914	19
1008128	230810	15
1008128	233279	108
1008128	260024	2
1008129	179530	116
1008130	202660	20
1008130	217390	43
1008131	166051	44
1008131	189610	59
1008132	199194	33
1008133	161277	40
1008133	247451	34
1008134	142109	2
1008134	244847	6
1008135	215668	8
1008135	235470	85
1008136	187007	63
1008136	201214	12
1008136	222840	8
1008136	256778	9
1008137	160411	24
1008137	185034	17
1008137	242505	203
1008138	178612	60
1008138	239018	39
1008139	195693	49
1008141	212088	1
1008141	231115	15
1008141	234042	224
1008141	239675	47
1008142	232974	8
1008143	193978	26
1008143	215185	51
1008143	245791	44
1008144	172665	24
1008145	182150	37
1008146	189194	137
1008146	222469	36
1008147	197188	27
1008148	185175	126
1008148	262338	9
1008149	173184	1
1008149	212143	12
1008149	231739	21
1008151	241893	442
1008152	237370	35
1008153	240560	35
1008155	197834	43
1008156	186875	66
1008156	218174	169
1008157	185318	2
1008158	188779	26
1008158	232645	385
1008159	221001	6
1008161	163507	38
1008162	210481	32
1008162	234437	22
1008163	183417	78
1008163	237052	2
1008164	246374	33
1008165	161266	14
1008165	164535	12
1008166	244850	3
1008167	185459	63
1008168	165268	12
1008168	247236	1
1008169	142458	1
1008169	144244	3
1008169	171632	26
1008170	192927	50
1008172	178080	168
1008172	210561	40
1008172	216715	103
1008172	241622	117
1008173	178572	76
1008173	185503	1
1008174	203186	42
1008174	240073	9
1008176	186743	33
1008176	238463	54
1008176	249832	1083
1008177	185590	235
1008177	194677	73
1008177	202929	11
1008177	233401	49
1008177	248984	74
1008179	176529	57
1008180	220587	46
1008181	224038	14
1008182	261688	18
1008184	161387	3
1008184	173834	42
1008184	177620	19
1008184	179250	51
1008184	193816	26
1008184	220191	9
1008184	246959	124
1008185	212375	7
1008186	192077	127
1008186	237870	42
1008187	235590	6
1008187	239788	39
1008187	241345	381
1008188	195968	1
1008188	238133	32
1008189	185754	103
1008189	248428	12
1008189	260693	11
1008190	261836	51
1008192	234155	9
1008192	248149	624
1008193	242309	61
1008194	195337	22
1008195	250933	118
1008198	217747	73
1008199	196618	29
1008199	246712	60
1008200	181870	250
1008201	186600	13
1008201	215528	23
1008202	161417	9
1008202	179835	128
1008202	224618	63
1008203	191229	47
1008203	197472	48
1008203	200717	49
1008203	232304	27
1008203	248736	368
1008204	170125	116
1008204	213797	36
1008205	185982	80
1008205	214291	150
1008205	221768	18
1008206	194062	42
1008207	159612	10
1008207	166633	5
1008207	172190	94
1008207	200017	13
1008208	242974	38
1008209	177583	1
1008210	241065	59
1008211	225210	2
1008212	253390	1
1008213	165085	20
1008213	170731	83
1008215	199424	34
1008215	255808	6
1008216	183906	76
1008216	216042	22
1008217	256894	23
1008219	186183	78
1008219	190380	44
1008219	210864	77
1008220	180419	52
1008221	184136	27
1008221	212606	28
1008221	262484	45
1008222	233227	158
1008222	243318	510
1008223	186320	75
1008223	238579	72
1008224	175675	8
1008224	177079	98
1008224	202693	8
1008224	250621	489
1008225	233523	165
1008226	186458	130
1008226	188728	108
1008228	183789	410
1008229	243666	57
1008230	219783	21
1008230	221244	92
1008230	246040	40
1008231	183119	118
1008231	215820	11
1008231	222752	11
1008231	239249	17
1008231	242714	363
1008233	260381	2
1008234	239907	20
1008235	143816	3
1008235	189532	63
1008235	194966	106
1008235	247642	34
1008236	253386	46
1008237	219545	13
1008237	252472	24
1008238	142793	1
1008238	161011	6
1008238	175457	9
1008238	181005	2
1008239	178970	204
1008239	214846	23
1008239	235709	82
1008239	246513	10
1008240	161539	1
1008240	249430	171
1008241	217321	16
1008241	220925	4
1008245	177617	8
1008245	183796	17
1008245	240785	9
1008246	196253	91
1008246	221538	47
1008247	202454	2
1008247	203940	13
1008248	262706	16
1008249	237978	60
1008249	242113	129
1008249	245736	3
1008250	180282	1
1008250	197108	33
1008250	234269	32
1008252	173271	3
1008252	260166	5
1008253	167942	13
1008253	244477	177
1008254	142925	5
1008254	211088	29
1008254	223351	107
1008254	245049	2
1008255	181590	47
1008256	201258	7
1008258	164062	1
1008258	197755	2
1008258	246327	1
1008258	268527	1
1008261	178470	12
1008261	188395	105
1008264	164619	3
1008264	199775	13
1008266	207427	1
1008266	218105	44
1008267	163597	38
1008268	161629	4
1008268	171716	27
1008268	215389	13
1008268	253327	18
1008270	238696	30
1008271	232343	10
1008271	261415	3
1008274	245226	1223
1008275	180140	92
1008275	192849	53
1008275	231357	9
1008275	247183	1
1008276	223950	30
1008276	262927	33
1008277	244774	121
1008278	176614	19
1008278	182176	2
1008278	237309	98
1008279	212123	12
1008279	232110	4
1008279	247720	55
1008279	260922	4
1008280	173928	37
1008280	232979	1
1008281	220101	13
1008282	193293	80
1008282	194600	67
1008282	240025	33
1008283	192424	125
1008285	245256	226
1008285	253338	181
1008285	255930	11
1008286	165664	1
1008286	232895	2
1008288	193738	54
1008288	218885	202
1008289	191997	1
1008289	256536	21
1008289	263052	35
1008291	192000	52
1008291	195888	31
1008292	235829	33
1008292	241571	75
1008292	247744	20
1008293	244804	13
1008294	159509	3
1008294	178691	32
1008294	186453	56
1008294	188678	59
1008295	237527	18
1008296	199807	47
1008297	195257	40
1008297	202634	2
1008297	247168	69
1008299	191576	132
1008299	231025	15
1008299	262146	22
1008300	173893	26
1008300	176186	58
1008301	171275	108
1008301	174951	98
1008301	250346	55
1008302	196539	38
1008302	263177	2
1008303	225125	33
1008304	219897	15
1008306	160214	67
1008307	191151	54
1008308	144547	5
1008309	244178	68
1008310	161752	13
1008310	181310	61
1008311	173301	139
1008312	236635	9
1008312	238086	118
1008313	165094	2
1008313	238407	13
1008314	246652	80
1008314	251209	29
1008315	190727	147
1008315	210337	21
1008316	263313	40
1008317	238811	27
1008318	164153	16
1008318	202727	2
1008320	170821	136
1008320	182660	122
1008320	185772	31
1008321	143462	8
1008321	214975	7
1008322	174077	4
1008322	175759	22
1008322	178529	25
1008323	160910	1
1008324	190302	28
1008324	202274	3
1008325	166216	37
1008325	222663	16
1008325	242923	73
1008325	246288	38
1008326	222280	46
1008326	248396	75
1008328	196784	23
1008328	215972	30
1008329	179860	33
1008330	256979	14
1008331	188650	18
1008331	189878	138
1008331	211596	96
1008332	210445	26
1008332	263449	16
1008335	215246	12
1008337	164936	20
1008338	241010	60
1008338	258500	43
1008339	167273	105
1008339	173940	12
1008339	213768	16
1008340	189454	35
1008340	199872	32
1008341	188133	141
1008341	231475	5
1008341	231926	60
1008343	169519	19
1008343	233456	260
1008343	239467	163
1008344	166750	11
1008345	195533	124
1008345	235949	315
1008347	180445	2
1008349	178367	16
1008349	186173	80
1008349	194255	191
1008350	214778	290
1008350	262019	8
1008351	173356	3
1008351	184223	28
1008351	217253	67
1008351	233839	295
1008351	259921	11
1008352	216512	110
1008352	243611	198
1008353	161875	2
1008353	189039	184
1008353	197028	53
1008354	172835	30
1008354	249013	1
1008354	256052	3
1008355	240738	179
1008357	165717	11
1008358	199175	31
1008358	237497	1
1008359	261140	19
1008360	177636	7
1008360	183865	36
1008360	263599	20
1008361	174237	7
1008361	186448	7
1008361	197676	29
1008363	143612	2
1008363	164703	22
1008363	183145	775
1008363	199851	24
1008363	238927	21
1008364	234212	21
1008365	181030	32
1008367	171800	54
1008368	219754	2
1008368	253290	316
1008368	263170	1
1008369	188622	18
1008369	258307	18
1008370	202187	3
1008370	265231	1
1008371	242068	104
1008372	170327	107
1008372	223861	18
1008372	232452	14
1008373	142156	1
1008373	163688	11
1008374	253294	3
1008376	220799	1
1008376	260309	13
1008377	176697	16
1008377	218036	30
1008378	220010	11
1008379	192771	2
1008381	199225	5
1008381	238218	147
1008382	187866	222
1008382	211068	48
1008383	250881	57
1008384	179581	117
1008386	166700	1
1008386	221409	47
1008387	144530	1
1008387	265922	3
1008388	181616	23
1008388	194088	50
1008388	194524	98
1008388	258690	6
1008388	263748	2
1008393	193660	8
1008393	241797	511
1008394	163232	61
1008394	191921	29
1008394	195809	1
1008394	221090	34
1008394	232514	55
1008396	165743	2
1008398	162000	12
1008399	174398	19
1008399	195178	42
1008399	199612	45
1008400	247946	117
1008400	257089	29
1008401	202755	5
1008401	247654	38
1008402	215103	15
1008402	225033	4
1008404	172359	90
1008404	199275	1
1008404	244727	145
1008405	196459	29
1008405	201312	6
1008405	242465	190
1008406	173991	1
1008406	245663	188
1008407	160811	1
1008407	209796	32
1008407	231593	19
1008408	142585	2
1008408	212103	16
1008408	264441	5
1008409	197312	62
1008409	215613	27
1008409	232826	83
1008409	258177	225
1008410	167832	69
1008410	182202	62
1008410	239042	57
1008410	268488	20
1008411	191073	32
1008412	241520	39
1008412	262312	22
1008414	173583	52
1008415	199933	13
1008415	238637	14
1008417	173979	11
1008419	161301	19
1008419	246847	198
1008420	217611	69
1008421	169648	20
1008421	175843	6
1008421	178716	53
1008421	220153	1
1008421	222574	18
1008422	187599	207
1008423	214149	71
1008424	165102	14
1008424	260859	6
1008426	170912	94
1008427	183518	273
1008427	245745	487
1008428	190225	20
1008430	193926	74
1008431	159443	19
1008431	259621	2
1008432	247093	29
1008434	142849	2
1008435	218626	597
1008435	241240	174
1008435	249634	9
1008435	255683	28
1008436	232493	4
1008437	166559	2
1008438	237684	17
1008438	238023	77
1008439	179301	31
1008439	215905	80
1008440	174569	127
1008440	261359	7
1008443	162125	5
1008443	200145	7
1008443	202065	5
1008443	242870	40
1008444	189376	54
1008444	194809	73
1008445	177589	3
1008445	246604	54
1008446	202801	12
1008447	185736	24
1008447	199978	2
1008447	232645	28
1008447	240963	10
1008448	236188	3
1008449	184543	140
1008449	238351	52
1008450	221480	53
1008450	256224	5
1008451	173439	3
1008451	196094	115
1008452	231253	27
1008453	174772	93
1008453	202466	23
1008455	143800	7
1008455	243215	237
1008456	196949	19
1008456	200776	76
1008456	233098	441
1008456	239158	25
1008456	245179	7
1008457	179885	66
1008457	210137	32
1008457	256757	38
1008458	178239	1
1008458	253303	2
1008459	239672	100
1008461	174763	69
1008461	214709	99
1008461	214955	10
1008461	233390	21
1008461	244690	23
1008462	164787	6
1008462	177739	2
1008462	217185	22
1008463	175594	11
1008463	187333	274
1008464	185964	124
1008464	197596	20
1008465	181922	48
1008465	221333	16
1008465	248359	3
1008466	171885	27
1008467	161033	6
1008467	223773	10
1008468	245913	41
1008469	243559	65
1008470	231706	3
1008470	249114	104
1008470	251020	257
1008472	163772	25
1008473	172903	1
1008473	213738	56
1008473	260553	34
1008473	268646	5
1008474	160015	54
1008474	180470	72
1008475	177274	183
1008475	188543	150
1008476	176781	12
1008476	193124	1
1008477	143272	15
1008477	260252	41
1008478	219921	13
1008478	234155	50
1008479	186164	16
1008479	212566	9
1008480	183934	15
1008481	224360	55
1008483	247511	41
1008484	192693	41
1008484	202784	2
1008485	236273	189
1008485	264053	31
1008486	199378	6
1008487	203003	3
1008488	217968	47
1008490	170391	1
1008490	192268	151
1008490	193138	60
1008490	201629	13
1008491	160712	2
1008491	167496	100
1008493	194448	63
1008493	242022	144
1008494	179021	150
1008495	183171	145
1008495	244934	47
1008496	232463	124
1008496	248123	121
1008497	193582	56
1008497	195729	48
1008497	232461	3
1008497	248717	773
1008498	176354	52
1008498	181056	32
1008498	263128	2
1008499	169778	4
1008499	191844	35
1008499	232776	42
1008500	171443	173
1008500	237822	81
1008501	166887	17
1008501	224940	32
1008502	195098	57
1008502	203155	17
1008502	210409	118
1008503	235879	9
1008504	187063	143
1008504	222091	60
1008504	233489	1
1008504	238465	35
1008505	219726	24
1008506	239282	101
1008507	191420	191
1008507	219488	18
1008507	262490	18
1008508	196379	33
1008508	202194	11
1008510	143605	2
1008510	211048	24
1008510	237130	3
1008512	184865	237
1008513	257172	82
1008513	258092	22
1008515	180278	1
1008515	190996	17
1008516	201943	7
1008516	222484	20
1008517	164322	46
1008519	143691	2
1008519	174846	1
1008519	232496	2
1008520	174258	1
1008520	175927	15
1008520	181642	55
1008520	214806	18
1008520	238864	31
1008522	214672	68
1008524	190571	132
1008524	247043	184
1008524	247587	46
1008527	244668	225
1008529	180190	133
1008530	263428	23
1008531	220965	57
1008531	253287	1
1008531	262109	2
1008532	185148	62
1008532	190147	45
1008532	220569	67
1008532	261722	44
1008533	171003	86
1008533	184353	1
1008533	196624	64
1008533	231820	13
1008533	232118	26
1008533	241469	55
1008534	165110	7
1008534	252680	44
1008536	211953	1
1008536	212085	155
1008537	144974	2
1008537	246175	22
1008537	249252	53
1008538	233582	342
1008539	239915	15
1008539	259909	73
1008539	262284	57
1008540	189723	148
1008540	203533	61
1008542	219779	1
1008543	182228	2
1008544	174031	15
1008544	186799	177
1008544	246212	399
1008544	253142	59
1008545	256396	2
1008546	253244	11
1008547	221255	5
1008548	189299	23
1008548	232898	3
1008549	178741	52
1008550	210722	118
1008550	215837	44
1008550	216330	80
1008550	248223	87
1008551	195374	68
1008551	202763	8
1008552	246252	1
1008552	249108	24
1008554	211041	8
1008555	201367	21
1008555	211298	34
1008557	161528	33
1008557	240917	40
1008558	251159	27
1008559	196869	75
1008560	238579	71
1008560	244078	459
1008561	164872	11
1008562	199946	22
1008562	242817	51
1008563	188882	67
1008563	223685	18
1008563	237960	61
1008565	171969	44
1008565	268853	1
1008566	177620	1
1008567	179326	102
1008567	197517	36
1008567	199482	1
1008568	232505	1
1008569	169895	28
1008569	252319	1
1008570	260797	29
1008571	163856	4
1008571	185695	57
1008571	194113	87
1008572	238308	7
1008572	249380	125
1008573	162497	134
1008573	178116	30
1008573	217117	16
1008574	185754	15
1008575	170521	149
1008575	181362	22
1008576	160614	1
1008576	177608	97
1008578	199788	18
1008578	245125	85
1008579	169386	16
1008579	219832	13
1008581	188465	71
1008581	264357	16
1008582	233339	37
1008582	247181	8
1008583	144373	12
1008584	179910	31
1008584	214634	28
1008585	182712	322
1008585	243507	199
1008586	215402	72
1008587	159407	1
1008587	201947	3
1008588	165906	17
1008588	192616	64
1008589	201216	69
1008590	239371	51
1008592	172971	16
1008592	262687	51
1008595	201821	4
1008595	245594	1
1008596	203909	12
1008596	231485	285
1008596	231933	140
1008596	233020	61
1008598	173366	6
1008598	176885	14
1008598	194371	147
1008598	211035	2
1008598	230480	4
1008599	217901	16
1008599	238043	13
1008600	195649	18
1008600	211548	42
1008600	250803	88
1008601	173763	48
1008601	184002	28
1008601	193504	39
1008601	216914	3
1008602	165427	121
1008603	191767	100
1008604	186155	46
1008604	204143	14
1008604	234105	15
1008604	239100	69
1008604	248323	38
1008604	267802	3
1008605	193728	82
1008605	195018	37
1008606	200083	26
1008607	180496	6
1008608	178434	152
1008608	238679	174
1008608	253634	4
1008610	219709	4
1008610	230816	5
1008610	259793	8
1008611	184204	52
1008611	196299	28
1008611	246475	2
1008612	172531	130
1008612	222397	38
1008612	246492	203
1008613	143600	10
1008613	174584	72
1008613	204376	12
1008613	247203	18
1008614	197154	51
1008614	265730	1
1008615	200079	21
1008615	253267	42
1008616	233774	14
1008617	265424	1
1008618	198971	13
1008619	176011	12
1008619	248057	31
1008620	144780	5
1008620	190918	44
1008621	184352	36
1008622	237932	3
1008623	163395	9
1008623	194115	1
1008623	201065	1
1008623	260759	6
1008624	202609	10
1008624	236597	107
1008625	183197	120
1008625	247052	15
1008625	258207	152
1008625	262086	14
1008626	211675	25
1008627	241071	139
1008630	181082	121
1008630	202477	5
1008632	171086	110
1008632	261038	25
1008633	242032	70
1008633	247789	154
1008633	263143	5
1008635	222997	114
1008636	190069	49
1008636	210464	66
1008637	194204	44
1008637	232387	3
1008637	247524	118
1008638	170013	9
1008639	179630	98
1008639	202325	12
1008639	249494	7
1008640	175799	14
1008640	214599	4
1008641	217474	42
1008641	224811	1
1008642	214500	16
1008642	216981	8
1008642	241736	1
1008643	186540	68
1008643	199582	14
1008644	248397	64
1008646	202200	3
1008647	242367	106
1008647	244606	13
1008647	253247	203
1008648	250546	138
1008649	159810	18
1008649	264655	3
1008650	233154	13
1008651	209759	8
1008651	209782	34
1008652	189221	68
1008652	194654	137
1008652	202075	19
1008652	211801	5
1008653	174105	13
1008653	181668	2
1008653	219768	13
1008653	241418	16
1008653	241755	477
1008653	257371	33
1008654	202956	11
1008655	175018	1
1008656	218488	121
1008656	245335	200
1008656	262892	10
1008657	195934	140
1008657	238779	15
1008657	268181	4
1008658	201950	6
1008658	223597	1
1008658	232577	3
1008659	167025	13
1008659	232047	16
1008660	160515	3
1008660	215769	21
1008661	164956	5
1008661	235809	69
1008661	260167	5
1008661	266054	1
1008662	196789	20
1008662	240380	32
1008664	172054	15
1008664	212066	16
1008665	162914	3
1008665	201407	12
1008665	238196	1
1008665	253602	5
1008666	201825	5
1008666	238809	6
1008668	178127	23
1008669	246692	641
1008670	197438	44
1008670	258620	184
1008671	161762	34
1008671	199149	62
1008671	267478	2
1008672	224183	82
1008673	233915	11
1008674	201700	13
1008675	182254	58
1008675	232548	1
1008675	240622	63
1008676	178766	256
1008676	205085	11
1008676	256632	7
1008676	258022	39
1008678	166000	3
1008678	183613	101
1008678	238116	1
1008678	238538	34
1008678	263014	1
1008680	246745	45
1008681	175263	10
1008681	242764	1
1008682	237903	1
1008683	186426	76
1008683	211931	14
1008684	217048	23
1008685	180802	93
1008685	221131	25
1008685	248472	296
1008687	188386	78
1008687	216801	7
1008687	257400	4
1008689	240864	27
1008690	173458	17
1008690	238862	34
1008691	192538	89
1008691	220346	103
1008691	238872	362
1008692	173031	6
1008692	243109	268
1008692	247351	40
1008693	262939	1
1008694	179350	36
1008694	261279	11
1008695	238265	30
1008696	185718	12
1008696	214564	11
1008697	171613	105
1008697	176523	47
1008698	212060	1
1008699	263136	3
1008700	192113	219
1008700	212296	25
1008700	238006	8
1008700	252744	1
1008702	236839	100
1008702	249016	59
1008703	162870	44
1008703	195569	28
1008704	194295	174
1008704	233289	32
1008704	243454	99
1008705	193427	40
1008707	191689	47
1008707	222310	11
1008707	241058	4
1008708	173238	33
1008708	194031	9
1008708	194939	47
1008708	238185	24
1008709	188190	66
1008709	205213	3
1008709	217832	37
1008710	143513	1
1008710	205216	6
1008711	259030	673
1008713	185945	100
1008713	193874	16
1008713	221161	1
1008713	263271	29
1008714	196220	54
1008714	219079	72
1008715	241154	4
1008716	164492	37
1008716	191265	142
1008716	210173	66
1008716	241264	1
1008717	179936	8
1008717	238315	7
1008717	238812	2
1008718	142083	3
1008718	176095	15
1008718	199682	7
1008719	176989	16
1008720	211017	46
1008721	197715	36
1008723	184073	25
1008724	161279	19
1008724	190840	21
1008725	232332	4
1008725	249057	7
1008727	232168	4
1008727	236056	50
1008728	186146	13
1008728	263406	16
1008729	240092	59
1008730	188056	79
1008730	234056	8
1008730	262633	34
1008731	142380	3
1008731	181974	188
1008732	171170	134
1008732	190416	167
1008732	205101	5
1008732	212055	1
1008734	245544	155
1008735	170117	2
1008736	212527	12
1008736	213682	990
1008737	231702	13
1008737	258322	4
1008738	175090	16
1008738	233727	21
1008738	265092	4
1008739	196465	49
1008739	239004	3
1008739	256745	29
1008740	180522	88
1008741	189991	39
1008741	200778	25
1008743	247991	100
1008744	160415	1
1008745	194130	58
1008745	216151	35
1008746	143061	4
1008746	166920	1
1008746	174427	6
1008746	200295	2
1008748	166740	13
1008749	179071	95
1008749	189567	62
1008749	246972	76
1008750	187922	38
1008750	221803	403
1008751	167158	21
1008751	188249	2
1008751	200303	11
1008751	262055	21
1008752	247464	60
1008752	263627	78
1008753	159368	16
1008753	223509	11
1008753	236585	5
1008753	239042	9
1008754	241335	30
1008754	246360	2
1008755	165045	4
1008755	183223	93
1008756	266397	1
1008757	189143	24
1008757	195214	90
1008757	215186	43
1008758	142734	8
1008758	143200	3
1008758	253353	109
1008759	239470	25
1008761	230356	28
1008762	177355	32
1008762	248614	81
1008763	181108	32
1008763	260411	72
1008764	196710	89
1008764	230697	7
1008766	163002	13
1008766	172141	35
1008767	238432	2
1008768	160979	37
1008768	162010	28
1008769	244547	202
1008770	164024	13
1008770	214194	16
1008771	142908	6
1008771	187788	35
1008771	210520	30
1008771	215701	25
1008771	249609	203
1008772	216688	31
1008772	241367	49
1008773	188726	91
1008773	197358	14
1008773	242041	156
1008774	176695	1
1008775	246475	5
1008777	174181	8
1008777	232624	8
1008778	167138	16
1008778	167614	54
1008778	253049	50
1008779	237080	15
1008779	241169	8
1008780	199951	48
1008780	219432	26
1008780	224682	17
1008781	169714	82
1008781	235761	99
1008782	173550	9
1008782	221039	12
1008782	233484	21
1008782	265586	2
1008784	166075	5
1008785	200336	5
1008786	181694	58
1008786	247067	68
1008786	261651	102
1008787	199317	29
1008787	243961	714
1008789	170702	72
1008789	177637	510
1008790	253228	27
1008790	266563	1
1008791	187655	84
1008792	173090	1
1008792	188308	151
1008795	178153	120
1008795	180242	91
1008795	262906	4
1008796	174152	9
1008796	192460	66
1008796	216980	40
1008796	219677	22
1008796	232289	14
1008796	238498	19
1008796	239165	20
1008796	239804	71
1008798	266314	2
1008798	267229	5
1008800	242712	94
1008802	200386	1
1008802	256858	9
1008804	169254	13
1008804	178791	39
1008804	194229	1
1008804	201457	2
1008805	177368	31
1008805	232904	5
1008806	195490	4
1008807	210759	115
1008808	143591	7
1008810	193349	29
1008810	194859	37
1008810	257082	1
1008811	187521	121
1008811	194221	166
1008811	238540	18
1008812	191611	31
1008812	202718	35
1008813	177812	1
1008814	193572	55
1008814	200267	3
1008816	194011	16
1008816	196140	22
1008817	219241	107
1008817	250725	334
1008818	173110	11
1008818	176180	4
1008818	193796	25
1008819	173909	21
1008820	163563	34
1008820	196994	72
1008820	217764	16
1008822	177076	10
1008823	203128	11
1008823	243401	87
1008824	219009	25
1008824	248435	63
1008825	202459	10
1008826	181503	1
1008826	222819	68
1008826	233240	11
1008826	244668	1
1008827	179376	35
1008827	238583	8
1008828	160316	1
1008828	190763	70
1008828	239284	4
1008829	185736	2
1008829	248996	34
1008829	262400	2
1008830	165617	41
1008830	171255	48
1008830	236440	14
1008831	170220	41
1008831	174326	15
1008831	187388	46
1008832	201467	47
1008833	143335	4
1008833	166815	7
1008833	199752	25
1008833	238583	6
1008834	172687	88
1008836	237829	785
1008837	161403	1
1008838	202210	12
1008839	248756	66
1008839	257949	62
1008840	181414	36
1008840	216799	18
1008840	239288	5
1008842	247415	1
1008843	210998	6
1008845	182764	181
1008845	184144	128
1008845	189914	23
1008845	222183	39
1008846	245939	985
1008847	230805	7
1008848	206050	22
1008849	184188	11
1008849	223420	1
1008850	165133	28
1008850	179962	49
1008850	201960	19
1008850	241334	4
1008850	269364	1
1008851	234008	22
1008852	187253	3
1008853	220127	83
1008853	248195	149
1008856	216576	10
1008856	250062	454
1008857	175930	9
1008857	192418	1
1008857	247929	107
1008858	186137	87
1008858	264534	3
1008859	184335	29
1008859	266963	5
1008860	194497	130
1008860	233679	21
1008860	258596	36
1008861	189065	62
1008861	244753	143
1008861	247198	12
1008861	247665	204
1008862	162672	8
1008862	195775	44
1008862	201114	1
1008863	178485	56
1008863	217338	64
1008863	224006	100
1008863	247197	2
1008865	201709	7
1008865	252830	73
1008866	260683	40
1008867	196630	11
1008869	167276	3
1008869	172228	24
1008870	164111	11
1008870	200492	24
1008872	180549	3
1008872	253464	104
1008872	262953	24
1008873	163102	5
1008873	187119	48
1008874	184510	130
1008874	238858	1
1008874	264419	80
1008875	184525	7
1008875	197913	80
1008876	166168	10
1008876	173641	51
1008876	197279	84
1008876	224593	2
1008877	218352	112
1008878	184164	413
1008878	236572	14
1008878	262024	16
1008879	198768	4
1008879	244480	66
1008879	250787	197
1008880	220947	12
1008880	231921	2
1008880	241049	12
1008881	236572	29
1008881	262788	8
1008882	175211	5
1008882	215633	20
1008883	159655	27
1008883	183248	108
1008883	183940	49
1008884	144099	3
1008884	213910	184
1008884	246467	53
1008884	265407	1
1008885	237418	223
1008886	184689	9
1008888	260037	19
1008891	238063	36
1008893	186987	86
1008893	242330	311
1008894	166468	5
1008894	268387	4
1008895	171781	124
1008895	181134	128
1008895	188233	78
1008896	184838	61
1008896	238734	47
1008896	239765	4
1008896	241659	33
1008897	241996	84
1008898	248865	79
1008898	267196	2
1008899	173413	32
1008900	192382	34
1008900	209720	20
1008900	235714	99
1008901	252165	7
1008904	179682	164
1008904	210572	75
1008905	203120	1
1008906	184979	72
1008907	170131	32
1008907	192827	216
1008907	216911	25
1008907	242665	74
1008907	251085	1
1008908	191958	134
1008908	195410	26
1008908	199852	16
1008910	174568	21
1008910	232688	66
1008911	144351	19
1008911	184183	10
1008912	164660	31
1008913	161526	14
1008913	174230	53
1008913	183798	1
1008913	186855	84
1008914	194779	54
1008915	181719	3
1008916	173193	18
1008916	185121	153
1008916	191533	37
1008916	193271	16
1008916	233820	3
1008918	176265	14
1008918	194147	545
1008919	196060	73
1008921	178179	29
1008921	183736	67
1008921	240274	21
1008922	193717	17
1008923	245473	449
1008924	230232	8
1008925	191109	86
1008925	239573	27
1008925	260874	63
1008926	185265	45
1008926	197556	36
1008926	230572	2
1008928	200147	19
1008929	171340	67
1008930	175445	2
1008930	243004	156
1008931	211761	33
1008931	217696	41
1008931	230914	5
1008931	239248	28
1008932	200982	2
1008933	143586	9
1008933	186721	67
1008933	190685	40
1008934	218940	25
1008934	249674	122
1008934	262200	35
1008935	182305	62
1008936	178817	176
1008936	185408	38
1008936	253213	8
1008936	260032	1
1008937	172753	15
1008937	174862	68
1008938	170311	26
1008938	212022	52
1008940	176730	55
1008940	216465	37
1008941	177177	28
1008941	190260	67
1008942	243348	48
1008942	250907	1
1008942	267484	1
1008943	209689	1
1008943	231256	1
1008944	196305	34
1008944	223331	16
1008944	257887	60
1008945	211496	59
1008946	185539	289
1008946	215983	60
1008948	201510	26
1008949	167372	8
1008949	189836	54
1008949	233192	8
1008950	180855	364
1008950	246346	12
1008953	186588	64
1008953	238306	20
1008953	244959	88
1008954	219645	6
1008955	160800	33
1008957	185699	154
1008957	189412	73
1008957	199503	37
1008957	248975	50
1008959	179402	57
1008959	215015	1
1008961	205210	1
1008961	239649	4
1008962	195055	95
1008963	248399	55
1008964	247089	4
1008965	143584	1
1008965	188987	27
1008966	165226	11
1008966	183505	74
1008966	210978	39
1008966	238885	32
1008966	263381	53
1008969	173733	5
1008969	177931	36
1008970	177622	9
1008970	196550	63
1008971	163186	9
1008971	164197	38
1008971	247868	196
1008971	258935	4
1008972	224505	22
1008972	235695	3
1008972	249005	9
1008972	250661	59
1008973	172316	19
1008973	179989	1
1008973	210203	69
1008973	233961	50
1008974	185927	163
1008974	262863	47
1008977	197833	17
1008977	250958	3
1008978	169548	98
1008978	187961	113
1008979	197199	12
1008980	220855	15
