		188146
1000210	195294	291
1000211	170383	15
1000211	209191	18
1000212	186349	19
1000212	190859	11
1000212	210984	2
1000213	228835	77
1000213	230977	1
1000215	193000	104
1000215	211479	12
1000215	232023	213
1000216	199007	31
1000216	205314	79
1000217	182188	20
1000218	168668	23
1000220	156332	9
1000220	202107	42
1000221	237020	74
1000221	246102	48
1000222	157222	9
1000222	179282	452
1000222	198101	79
1000222	199670	18
1000224	244388	75
1000226	195165	58
1000227	161369	20
1000227	242604	163
1000228	182351	9
1000229	153550	35
1000229	230967	50
1000229	236101	601
1000231	197012	108
1000231	199767	2
1000232	178238	26
1000232	190726	47
1000232	198878	11
1000234	230346	1
1000234	233081	196
1000235	166478	49
1000236	164652	11
1000236	235189	121
1000238	213203	8
1000239	240769	50
1000240	182515	32
1000240	231561	113
1000242	195036	234
1000242	209750	8
1000243	171648	690
1000244	209314	8
1000244	241211	40
1000245	152582	8
1000245	176509	31
1000245	187997	191
1000246	168323	73
1000246	248110	46
1000248	158014	28
1000248	212986	32
1000248	243635	1
1000249	198744	29
1000249	239572	174
1000251	178008	24
1000251	182667	79
1000251	211161	38
1000251	227294	2
1000252	242122	121
1000252	246654	61
1000253	190592	20
1000253	226668	377
1000255	178866	74
1000255	227446	177
1000255	239588	1
1000256	231102	8
1000257	212553	2
1000257	238942	110
1000257	245212	114
1000258	194907	58
1000258	246222	61
1000259	155156	33
1000260	244517	104
1000261	182820	27
1000261	237146	46
1000264	196744	89
1000264	248229	92
1000265	202790	28
1000266	198610	54
1000267	194771	250
1000267	200725	57
1000267	225915	518
1000267	228200	302
1000268	158856	15
1000268	160890	12
1000268	201714	21
1000270	164425	5
1000270	182954	5
1000271	177779	21
1000272	172937	58
1000272	187022	478
1000273	190459	56
1000274	161918	8
1000274	167978	13
1000275	229995	133
1000276	194635	75
1000277	160751	5
1000278	171222	31
1000278	228951	170
1000278	235312	83
1000279	232139	97
1000279	241339	53
1000280	159746	14
1000281	169532	53
1000281	203724	33
1000282	248347	26
1000283	183139	1
1000283	198475	40
1000283	212123	12
1000283	239084	2
1000284	199799	11
1000284	199869	1
1000284	199940	17
1000285	183163	233
1000285	187730	115
1000286	156787	54
1000286	186745	78
1000288	153139	5
1000288	193737	186
1000288	199404	19
1000289	167899	9
1000289	192922	114
1000289	243609	537
1000291	210237	1
1000291	242718	93
1000293	162959	6
1000293	164263	6
1000294	177499	48
1000294	190326	62
1000294	244646	42
1000294	246341	23
1000295	200072	23
1000295	211828	3
1000296	196484	177
1000296	202548	32
1000297	165154	20
1000297	199738	1
1000298	166043	16
1000299	153979	14
1000299	175864	1
1000300	183372	38
1000300	198340	97
1000300	212615	28
1000300	215640	6
1000302	213528	19
1000302	233204	71
1000302	240881	10
1000303	240586	35
1000304	197821	71
1000305	166933	30
1000305	167820	14
1000305	214585	15
1000305	215942	14
1000305	216841	15
1000305	249646	9
1000307	200205	21
1000308	174157	4
1000308	211292	9
1000308	216245	5
1000309	216542	20
1000310	183505	32
1000310	199677	36
1000311	237118	94
1000312	170808	52
1000313	234249	763
1000314	190193	48
1000314	194605	133
1000314	241467	33
1000315	239690	43
1000316	154770	8
1000316	163736	50
1000316	177220	19
1000316	198213	1
1000317	150883	8
1000317	235290	140
1000318	232713	328
1000320	183659	140
1000320	225130	14
1000320	238153	111
1000321	195177	54
1000322	239382	38
1000323	173971	23
1000324	149908	1
1000324	249606	16
1000326	201257	23
1000326	202307	5
1000326	239064	230
1000327	158445	120
1000328	187464	172
1000328	204421	14
1000328	211550	5
1000329	188553	1
1000329	225433	311
1000329	226031	89
1000329	231061	12
1000331	183813	71
1000332	155561	21
1000332	198086	6
1000333	202253	3
1000334	162481	12
1000334	190059	104
1000334	200991	83
1000335	212199	1
1000336	152871	26
1000336	217214	31
1000336	241160	25
1000336	246460	79
1000337	167904	13
1000337	249624	17
1000338	173786	16
1000338	202213	4
1000339	154609	16
1000339	202199	9
1000339	219486	88
1000340	200340	33
1000341	192654	205
1000341	232252	68
1000342	172085	4
1000342	212001	13
1000342	213885	34
1000343	183975	80
1000344	206363	3
1000344	229070	88
1000344	230603	386
1000345	170394	26
1000345	176870	92
1000345	230119	202
1000347	237246	115
1000348	151976	27
1000349	156351	13
1000350	199155	28
1000351	194575	481
1000351	211524	14
1000351	244614	43
1000352	168679	27
1000353	246893	60
1000354	184138	31
1000354	189925	59
1000354	241600	134
1000354	242831	157
1000355	213136	33
1000356	165654	45
1000356	231196	52
1000358	160189	40
1000359	199545	46
1000360	235413	63
1000362	157241	7
1000362	178249	28
1000362	215108	97
1000363	231790	7
1000364	164838	28
1000364	195970	208
1000365	180504	1
1000365	197822	6
1000365	214209	75
1000365	240994	153
1000366	184300	85
1000366	187197	250
1000367	236343	352
1000370	204081	26
1000370	233327	49
1000372	167386	185
1000372	173367	63
1000373	209500	1
1000374	160765	8
1000374	160981	9
1000374	162003	3
1000374	176520	55
1000374	189791	38
1000374	200476	35
1000375	212906	6
1000377	201898	19
1000377	239802	31
1000377	248323	1
1000378	184462	91
1000381	169968	88
1000381	197695	2
1000382	192387	451
1000382	226900	217
1000383	152603	7
1000384	227680	124
1000384	231330	1
1000384	249247	22
1000385	150405	25
1000385	244744	64
1000387	158034	101
1000387	237373	139
1000389	160626	4
1000389	184625	48
1000391	227216	318
1000392	226145	22
1000393	157992	7
1000393	163043	9
1000393	210290	6
1000393	241732	30
1000394	211122	8
1000394	239186	172
1000395	154223	29
1000395	189658	98
1000395	202315	1
1000396	208468	13
1000396	228434	202
1000396	249501	8
1000397	197569	49
1000397	202807	45
1000398	201731	8
1000399	157950	10
1000399	246570	26
1000400	177789	13
1000400	195709	166
1000401	167829	53
1000401	176197	121
1000401	184787	40
1000401	192939	244
1000404	155965	48
1000404	232365	103
1000404	235537	130
1000406	158876	3
1000407	172948	20
1000408	164280	27
1000408	198094	86
1000408	199414	12
1000410	212539	2
1000412	171233	30
1000412	184949	35
1000412	215587	12
1000412	234198	1
1000413	199882	17
1000413	199953	5
1000413	203740	13
1000413	211884	13
1000414	197439	66
1000414	198902	32
1000414	230243	1690
1000415	189524	4
1000415	243837	413
1000415	249727	30
1000416	169542	25
1000417	153158	13
1000417	214510	50
1000417	242945	87
1000417	247143	124
1000418	247430	125
1000418	249546	41
1000419	159766	4
1000421	154487	1
1000421	216191	10
1000421	237374	2
1000422	187754	1
1000422	192120	257
1000423	185111	75
1000423	209985	5
1000424	216785	15
1000426	161537	19
1000426	201502	57
1000427	153997	8
1000428	165173	18
1000428	169395	21
1000428	175874	21
1000428	199673	20
1000428	241108	15
1000430	197309	23
1000430	240516	106
1000430	249207	1
1000432	166062	18
1000432	195454	176
1000432	233441	82
1000434	241865	218
1000434	244898	63
1000435	185274	114
1000435	241404	31
1000436	189391	53
1000437	237345	17
1000439	166952	12
1000439	193356	2
1000439	234477	265
1000440	239915	61
1000442	172522	76
1000442	194503	1
1000444	154789	19
1000444	235515	136
1000445	150885	2
1000446	177231	55
1000447	185437	83
1000447	197175	38
1000448	197195	1
1000448	227796	64
1000448	238379	654
1000449	211753	4
1000449	247129	1
1000450	157605	118
1000450	209263	10
1000450	225212	1
1000450	242629	60
1000451	239613	108
1000452	200617	34
1000452	248060	62
1000454	199294	25
1000455	201274	7
1000455	231291	39
1000456	189258	17
1000456	226260	81
1000456	249851	15
1000457	149906	4
1000457	185579	107
1000458	232958	315
1000459	204438	12
1000460	155579	12
1000460	194494	775
1000461	211951	11
1000461	239309	53
1000462	212381	24
1000462	249364	12
1000463	168969	66
1000463	191853	232
1000464	152191	26
1000464	197041	40
1000465	202323	1
1000467	185720	54
1000467	246681	101
1000468	173796	20
1000468	231434	1
1000470	203282	133
1000471	165205	20
1000471	193765	2
1000471	211601	1
1000471	212860	22
1000471	232477	91
1000472	230833	287
1000472	237474	116
1000476	189124	36
1000476	197809	68
1000476	241999	312
1000477	172096	39
1000477	185862	98
1000478	167834	29
1000478	248304	8
1000479	208095	1
1000480	161072	6
1000480	162093	11
1000480	170406	16
1000480	198639	121
1000481	196907	15
1000481	243059	203
1000482	159331	40
1000482	230366	146
1000483	183802	38
1000484	213787	28
1000484	231426	67
1000486	153587	54
1000486	168690	33
1000486	217531	5
1000486	235640	85
1000487	158048	103
1000487	167720	24
1000487	186004	53
1000490	232021	51
1000490	244863	103
1000492	163128	4
1000492	178260	16
1000492	241224	97
1000492	249443	8
1000493	236572	822
1000494	158007	6
1000494	249470	11
1000495	233554	51
1000496	188991	28
1000496	194243	31
1000497	194936	99
1000497	229871	286
1000498	186135	130
1000498	196773	31
1000498	211619	19
