		188146
40.498060701	-74.248893743	1
40.49876753	-74.240511403	24
40.498905363	-74.24153665	23
40.498957012	-74.244366592	9
40.499142788	-74.243486342	3
40.499228792	-74.243055178	6
40.4993236	-74.239740339	11
40.499400832	-74.24217487	6
40.499486862	-74.24172932	1
40.499652024	-74.238882154	8
40.49966718	-74.240823865	5
40.499758708	-74.24037114	2
40.499850235	-74.239918416	1
40.499941761	-74.239465689	7
40.499947543	-74.238005864	10
40.500033284	-74.23901296	1
40.50005352	-74.237197213	8
40.500124805	-74.238560231	2
40.500215976	-74.244795485	16
40.500390768	-74.243918773	47
40.500425539	-74.236486584	6
40.500562792	-74.24304924	11
40.500628514	-74.23655562	3
40.500667568	-74.24922706	1
40.5007376	-74.242158137	24
40.500745242	-74.2488498	2
40.500773188	-74.23694447	4
40.50089207	-74.237858206	5
40.500917922	-74.241252666	31
40.501027534	-74.237391242	8
40.50110098	-74.2403472	45
40.501210006	-74.236755443	2
40.50128128	-74.239445316	21
40.50128895	-74.246198159	2
40.501299998	-74.246165838	1
40.501342919	-74.237521809	1
40.501380569	-74.245713071	5
40.501464332	-74.238536244	40
40.501472193	-74.245224384	2
40.501513692	-74.237234755	1
40.501576617	-74.233319192	2
40.501638753	-74.244347627	1
40.501761594	-74.23814177	15
40.501808044	-74.243474472	1
40.501832306	-74.250062027	1
40.501840908	-74.234280186	4
40.501927704	-74.233442673	1
40.501982238	-74.249275111	35
40.501985585	-74.242590555	2
40.50199631	-74.233450104	6
40.502044133	-74.232878541	4
40.502130121	-74.23779429	29
40.502162562	-74.248394812	9
40.502168663	-74.241681483	2
40.502181016	-74.237075312	22
40.502257442	-74.241232328	3
40.502342893	-74.247507319	18
40.502343097	-74.238334418	2
40.502348972	-74.240779587	5
40.502353019	-74.234853713	19
40.502378534	-74.231754218	1
40.502384488	-74.231524106	6
40.50241652	-74.251516919	2
40.5024405	-74.240326844	1
40.50244321	-74.253109964	9
40.502515923	-74.23838178	1
40.50252321	-74.246623415	15
40.502529282	-74.239874091	1
40.502540811	-74.231589373	1
40.502597013	-74.233653567	4
40.50270918	-74.245660419	31
40.502766783	-74.237861279	12
40.502783638	-74.251831138	14
40.50281894	-74.228400835	1
40.502833557	-74.251597596	6
40.502847521	-74.237311404	1
40.502874162	-74.239023115	1
40.502881248	-74.244776476	26
40.502886221	-74.251364065	3
40.502945123	-74.22844082	2
40.502969486	-74.250943664	1
40.502980594	-74.236671816	3
40.503053286	-74.243903315	19
40.503080704	-74.23737336	1
40.503126492	-74.229710773	3
40.503177034	-74.231875648	7
40.503177662	-74.238269072	10
40.503219225	-74.249704032	2
40.503230733	-74.239146648	5
40.503230831	-74.243019383	27
40.503236546	-74.230948124	3
40.503308012	-74.24926567	1
40.503413911	-74.242110295	18
40.503508596	-74.237518715	1
40.503530913	-74.238669472	14
40.503533605	-74.23200274	1
40.503563784	-74.232010037	5
40.503577134	-74.247939795	3
40.503594225	-74.241208384	25
40.50360863	-74.231549921	1
40.503620226	-74.239277494	1
40.503669855	-74.237850108	1
40.503671451	-74.247479874	2
40.503765758	-74.247023545	3
40.503770236	-74.252532455	8
40.503774531	-74.240306468	30
