,lat,long,zipcode
0,-73.86942457284177,40.74915687096788,11372
1,-73.89143129977276,40.74684466041932,11372
2,-73.89507143240859,40.746465470812154,11372
3,-73.8961873786782,40.74850942518088,11372
4,-73.8958395418514,40.74854687570604,11372
5,-73.89525242774397,40.748306609450246,11372
6,-73.89654041085562,40.75054199814359,11372
7,-73.89579868613829,40.75061972133262,11372
8,-73.89652230661434,40.75438879610903,11372
9,-73.88164812188481,40.75595161704187,11372
10,-73.87221855882478,40.75694324806748,11372
11,-73.87167992356792,40.75398717439604,11372
12,-73.8720704651389,40.753862007052064,11372
13,-73.86942457284177,40.74915687096788,11372
14,-73.71132911125308,40.74947450816085,11004
15,-73.7106837407401,40.75004039450918,11004
16,-73.70869392379949,40.74875836557177,11004
17,-73.70713084684176,40.749582740537946,11004
18,-73.70419967936363,40.750169552569766,11004
19,-73.70218528698231,40.744741887753854,11004
20,-73.70308721830736,40.744547257355144,11004
21,-73.70098278625547,40.73889569923034,11004
22,-73.71371033246908,40.736174704865455,11004
23,-73.714741836008,40.73782936804115,11004
24,-73.71567895968894,40.73962914915626,11004
25,-73.71867075939582,40.74631499057428,11004
26,-73.71966142935703,40.748945236431474,11004
27,-73.72082889049311,40.751173028173014,11004
28,-73.72117809110456,40.75232189224561,11004
29,-73.72250622247415,40.753358470814895,11004
30,-73.72270447144122,40.75373371438336,11004
31,-73.72183610276068,40.75486513130315,11004
32,-73.72109289651769,40.7562813418113,11004
33,-73.71775341502477,40.75534755942338,11004
34,-73.71730957335735,40.75595782995615,11004
35,-73.71534601002345,40.75550893330126,11004
36,-73.71553103019596,40.75506458072391,11004
37,-73.71541781535772,40.7549984440815,11004
38,-73.71509806179287,40.75181177075926,11004
39,-73.71132911125308,40.74947450816085,11004
40,-73.70098278625547,40.73889569923034,11040
41,-73.70308721830736,40.744547257355144,11040
42,-73.70218528698231,40.744741887753854,11040
43,-73.70419967936363,40.750169552569766,11040
44,-73.70713084684176,40.749582740537946,11040
45,-73.70869392379949,40.74875836557177,11040
46,-73.7106837407401,40.75004039450918,11040
47,-73.70749973637018,40.75269197566901,11040
48,-73.70477547538242,40.75527023304602,11040
49,-73.70093102990266,40.752817486343424,11040
50,-73.69974445953216,40.74239262246761,11040
51,-73.69961317322237,40.7405060651396,11040
52,-73.6996045181533,40.739594699565956,11040
53,-73.7003524614428,40.739113250188865,11040
54,-73.70098278625547,40.73889569923034,11040
55,-73.72270447144122,40.75373371438336,11426
56,-73.72250622247415,40.753358470814895,11426
57,-73.72117809110456,40.75232189224561,11426
58,-73.72082889049311,40.751173028173014,11426
59,-73.71966142935703,40.748945236431474,11426
60,-73.71867075939582,40.74631499057428,11426
61,-73.71567895968894,40.73962914915626,11426
62,-73.714741836008,40.73782936804115,11426
63,-73.71371033246908,40.736174704865455,11426
64,-73.71147803740357,40.73250141963972,11426
65,-73.7107482581903,40.73059313121937,11426
66,-73.71050499970065,40.72736866972774,11426
67,-73.70905586762616,40.72664415949807,11426
68,-73.71570591094792,40.725801511420826,11426
69,-73.71727651695193,40.7254628718624,11426
70,-73.72620950410881,40.72309859227402,11426
71,-73.72684845040733,40.72249645408755,11426
72,-73.72761998125254,40.72225436873579,11426
73,-73.72796736491678,40.723155272416086,11426
74,-73.72816232599695,40.72308416455733,11426
75,-73.72836413908203,40.72361437521388,11426
76,-73.72990511102304,40.723272516554005,11426
77,-73.73157640189716,40.727618345273555,11426
78,-73.73159746166618,40.72797916508613,11426
79,-73.73123513008417,40.72894738980239,11426
80,-73.73072681361487,40.73026709420813,11426
81,-73.73277501137522,40.73033327158268,11426
82,-73.73291096372746,40.730952359830304,11426
83,-73.73193257090016,40.73092367158476,11426
84,-73.73116645389476,40.73268134201055,11426
85,-73.73544649938972,40.73346163008545,11426
86,-73.73481044382278,40.73516320022872,11426
87,-73.73452836532343,40.735443057983424,11426
88,-73.7337729841358,40.73889930362767,11426
89,-73.7356758191865,40.738128079721065,11426
90,-73.74168681424477,40.73682340115314,11426
91,-73.7391559027536,40.73977681751699,11426
92,-73.73793557936861,40.74062167762755,11426
93,-73.73453711857451,40.7424032199215,11426
94,-73.73295904690926,40.743450559994464,11426
95,-73.73124540301163,40.74488162642457,11426
96,-73.7294812243112,40.747058749536556,11426
97,-73.72860639862782,40.74897407839086,11426
98,-73.7278645310041,40.75060644900093,11426
99,-73.72659781131365,40.75194025576956,11426
100,-73.72448557254732,40.753162716328085,11426
101,-73.72304547223109,40.754299838885785,11426
102,-73.72270447144122,40.75373371438336,11426
103,-73.81088634744756,40.7271718757592,11365
104,-73.81115869632796,40.72811578889333,11365
105,-73.81087857737191,40.73044076111908,11365
106,-73.81039283603155,40.73832811256814,11365
107,-73.81497231430079,40.73857247354962,11365
108,-73.8150962962076,40.739233762735516,11365
109,-73.81320839394928,40.738986680797105,11365
110,-73.81035511920078,40.738871386398905,11365
111,-73.81013261190412,40.74229508206978,11365
112,-73.81430884374046,40.7429737987062,11365
113,-73.81389548566275,40.74418396197773,11365
114,-73.8136736120338,40.745555884799515,11365
115,-73.81416170432934,40.7461386017966,11365
116,-73.80750598164494,40.75013661137005,11365
117,-73.80287800596291,40.74978342309386,11365
118,-73.8028109438988,40.74908548009404,11365
119,-73.79802487205751,40.7487118822742,11365
120,-73.79797926874357,40.748983076885274,11365
121,-73.79644616834038,40.74985924250121,11365
122,-73.79481030715543,40.74864724248131,11365
123,-73.79481559808444,40.74842181497499,11365
124,-73.79230780156934,40.7483284193629,11365
125,-73.79229827925938,40.74847044303219,11365
